"Site_Code","Site_Name","Category","Area","Long","Lat"
"P3128","Kenwood Green Reserve","Neighbourhood Park",1440.10,144.768498,-37.794596
"P3129","Hammerwood Avenue Reserve","Neighbourhood Park",4382.48,144.770261,-37.786064
"P3130","St Andrews Park","Suburban Park",15153.76,144.770033,-37.780353
"P0115","JR Parsons Reserve","Neighbourhood Park",73344.74,144.835932,-37.795152
"P3131","Harcourt Avenue Reserve","Local Park",665.07,144.823471,-37.743241
"P3132","Balmoral Park","Suburban Park",76453.83,144.764965,-37.791529
"P3134","Westminster Pkwy/Bowmont Dr Reserve","Neighbourhood Park",5440.03,144.758208,-37.783512
"P3061","Kororoit Creek - Learmonth to Wright","Park / Reserve",101939.25,144.8204,-37.798626
"P3135","Buckingham Reserve","Flagship Park",79331.34,144.830068,-37.799274
"P0232","Kevin Flint Memorial Reserve","Flagship Park",194232.29,144.798938,-37.76114
"P3136","Haddon Grn/Queensberry St Reserve","Neighbourhood Park",10113.53,144.758284,-37.785964
"P3140","Fitzgerald Square Reserve","Neighbourhood Park",5979.44,144.791488,-37.793798
"P3141","The Grove Reserve","Park / Reserve",1906.47,144.793243,-37.794154
"P3060","Kororoit Creek (Glengala Road to Fraser)","Park / Reserve",26816.14,144.816274,-37.78602
"P3059","Kororoit Crk.(Glengala Road to Fraser St","Park / Reserve",51266.64,144.818266,-37.786327
"P3169","Hatchlands Drive/Ashgrove Drive Reserve","Neighbourhood Park",14643.47,144.75943,-37.776819
"P3170","Proximity Drive Reserve","Park / Reserve",43871.26,144.82707,-37.815591
"P3172","Pelister Pl/Callaway Bvd Reserve","Park / Reserve",247.71,144.796539,-37.793751
"P3171","Sunshine Reserve","Neighbourhood Park",13652.34,144.797508,-37.794141
"P3173","The Greenway Reserve","Park / Reserve",30768.81,144.80088,-37.794887
"P3101","Jones Creek Wetlands","Park / Reserve",194391.31,144.795314,-37.752785
"P0011","Barclay Reserve","Local Park",29869.17,144.826105,-37.781226
"P3174","Erin Square Reserve","Park / Reserve",484.30,144.758571,-37.776029
"P3175","Redgum Drive Reserve","Park / Reserve",13927.85,144.853086,-37.766074
"P3176","Andrea Street Reserve","Park / Reserve",7825.49,144.798808,-37.748749
"P1686","Railway Reserve Easement","Park / Reserve",33193.74,144.786792,-37.717012
"P1051","Melton Highway Tree Reserve and Road Ver","Park / Reserve",2124.12,144.758053,-37.693969
"P1052","Melton Highway/Sydenham Road Tree Reserv","Park / Reserve",2051.29,144.769159,-37.695909
"P3177","Foleys Road/Davis Court Reserve","Park / Reserve",94603.75,144.785588,-37.786019
"P3010","Magnolia Street Drainage Easement","Local Park",4339.12,144.819552,-37.753586
"P3179","Federation Bike Trail","Park / Reserve",54280.51,144.834034,-37.817812
"P3054","Matthews Hill Reserve","Suburban Park",88898.87,144.841193,-37.794558
"P3180","University Park Primary School Reserve","Neighbourhood Park",9919.84,144.801922,-37.754501
"P3181","Holmewood Avenue Park","Neighbourhood Park",2786.46,144.758186,-37.778895
"P3178","Park Victoria External","Park / Reserve",3475120.02,144.839674,-37.735105
"P0236","Australis Drive North Side Reserve 1","Park / Reserve",29961.36,144.760416,-37.802891
"P0237","Australis Drive South Side Reserve 2","Park / Reserve",19806.53,144.760187,-37.805127
"P3120","Calarco Drive South Side Reserve 2","Park / Reserve",8249.77,144.759788,-37.800641
"P3137","Rowan Drive Reserve 1","Park / Reserve",445.97,144.826409,-37.729009
"P3138","Rowan Drive Reserve 2","Park / Reserve",508.92,144.826879,-37.729927
"P0062","Errington Reserve","Flagship Park",25780.72,144.803342,-37.745627
